created_at,screen_name,text,lang,retweet_count,reply_count,like_count,quote_count,id,author_id,conversation_id,in_reply_to_user_id,geo,entities
2022-01-07T23:58:24.000Z,DoraineGenius,"Hong Kong NFT start-ups jockey to become the next Bored Apes and CryptoPunks in an increasingly crowded field
@luckykittensnft #Metaverse #BoredApeYachtClub #NewNFT

#Ethereum #bitcoin
#cryptonews #NFTnews #NFTs #NFTartists #nftcollector #nftgallery #NFTs #cryptoart #Cryptos https://t.co/b0maPJirBV",en,1,0,4,0,1479603356083658753,1308840519234138114,1479603356083658753,nan,nan,"{'urls': [{'start': 276, 'end': 299, 'url': 'https://t.co/b0maPJirBV', 'expanded_url': 'https://twitter.com/DoraineGenius/status/1479603356083658753/photo/1', 'display_url': 'pic.twitter.com/b0maPJirBV'}], 'hashtags': [{'start': 127, 'end': 137, 'tag': 'Metaverse'}, {'start': 138, 'end': 156, 'tag': 'BoredApeYachtClub'}, {'start': 157, 'end': 164, 'tag': 'NewNFT'}, {'start': 166, 'end': 175, 'tag': 'Ethereum'}, {'start': 176, 'end': 184, 'tag': 'bitcoin'}, {'start': 185, 'end': 196, 'tag': 'cryptonews'}, {'start': 197, 'end': 205, 'tag': 'NFTnews'}, {'start': 206, 'end': 211, 'tag': 'NFTs'}, {'start': 212, 'end': 223, 'tag': 'NFTartists'}, {'start': 224, 'end': 237, 'tag': 'nftcollector'}, {'start': 238, 'end': 249, 'tag': 'nftgallery'}, {'start': 250, 'end': 255, 'tag': 'NFTs'}, {'start': 256, 'end': 266, 'tag': 'cryptoart'}, {'start': 267, 'end': 275, 'tag': 'Cryptos'}], 'mentions': [{'start': 110, 'end': 126, 'username': 'luckykittensnft', 'id': '1449251281848213505'}]}"
2022-01-07T23:54:41.000Z,MrLegendaryAPE,"I think head bands in @BoredApeYC are super under valued.

I'm not sure if anyone realizes this.
But the head band says
 (""Godly Winds"")

If that's not cool I don't know what is.

Random? Or purposeful?

@BoredApeYC
#MAYC #BAYC
#BoredApeYachtClub #BoredApeYC #MutantApeYachtClub https://t.co/e3NWZZAgyN",en,0,5,9,0,1479602421311553536,1424343723563913223,1479602421311553536,nan,nan,"{'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/e3NWZZAgyN', 'expanded_url': 'https://twitter.com/MrLegendaryAPE/status/1479602421311553536/photo/1', 'display_url': 'pic.twitter.com/e3NWZZAgyN'}], 'hashtags': [{'start': 216, 'end': 221, 'tag': 'MAYC'}, {'start': 222, 'end': 227, 'tag': 'BAYC'}, {'start': 228, 'end': 246, 'tag': 'BoredApeYachtClub'}, {'start': 247, 'end': 258, 'tag': 'BoredApeYC'}, {'start': 259, 'end': 278, 'tag': 'MutantApeYachtClub'}], 'mentions': [{'start': 22, 'end': 33, 'username': 'BoredApeYC', 'id': '1381699264011771906'}, {'start': 204, 'end': 215, 'username': 'BoredApeYC', 'id': '1381699264011771906'}]}"
2022-01-07T23:51:14.000Z,ke1lerr,"This was me until I met the @_cryptoapes family now I'm out here spending 7 hours straight with them chattin and crapeing on spaces! #BoredApeYachtClub and #cryptopunks communities have been successfully united already, many more to come :) #CRAPES https://t.co/O9pdAwoRZm",en,12,0,27,1,1479601552453029889,2586211981,1479601552453029889,nan,nan,"{'urls': [{'start': 249, 'end': 272, 'url': 'https://t.co/O9pdAwoRZm', 'expanded_url': 'https://twitter.com/ke1lerr/status/1479601552453029889/photo/1', 'display_url': 'pic.twitter.com/O9pdAwoRZm'}], 'hashtags': [{'start': 133, 'end': 151, 'tag': 'BoredApeYachtClub'}, {'start': 156, 'end': 168, 'tag': 'cryptopunks'}, {'start': 241, 'end': 248, 'tag': 'CRAPES'}], 'mentions': [{'start': 28, 'end': 40, 'username': '_cryptoapes', 'id': '1475978040576413700'}]}"
2022-01-07T23:47:04.000Z,InfiniteDodos,"First community AMA announcing 4 functional DAOS at mint was exciting!! 

Discord is open 🔓

https://t.co/Nf7EhfJyYj

More announced soon! 

#NFT #opensea #NFTGiveaway #eth #DAO #BoredApeYachtClub",en,1,2,8,1,1479600502824312836,1453511995253166081,1479600502824312836,nan,nan,"{'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/Nf7EhfJyYj', 'expanded_url': 'https://discord.gg/8n2BXyRn', 'display_url': 'discord.gg/8n2BXyRn'}], 'hashtags': [{'start': 141, 'end': 145, 'tag': 'NFT'}, {'start': 146, 'end': 154, 'tag': 'opensea'}, {'start': 155, 'end': 167, 'tag': 'NFTGiveaway'}, {'start': 168, 'end': 172, 'tag': 'eth'}, {'start': 173, 'end': 177, 'tag': 'DAO'}, {'start': 178, 'end': 196, 'tag': 'BoredApeYachtClub'}]}"
2022-01-07T23:46:34.000Z,__jiri,"Cryptos are down but #NFTs are up!  Are you selling for a profit or holding?

#LazyLionsNFT #BAYC #boredapeyachtclub #CyberKongz #Cryptopunks #Fidenza #veefriends #NFTCollector #NFTNews #nftcommunity #cryptonft #nftcollector #NFTart #cryptoart https://t.co/UaZOaFx5Xv",en,2,3,4,0,1479600376735227905,585900614,1479600376735227905,nan,nan,"{'urls': [{'start': 244, 'end': 267, 'url': 'https://t.co/UaZOaFx5Xv', 'expanded_url': 'https://twitter.com/__jiri/status/1479600376735227905/photo/1', 'display_url': 'pic.twitter.com/UaZOaFx5Xv'}], 'hashtags': [{'start': 21, 'end': 26, 'tag': 'NFTs'}, {'start': 78, 'end': 91, 'tag': 'LazyLionsNFT'}, {'start': 92, 'end': 97, 'tag': 'BAYC'}, {'start': 98, 'end': 116, 'tag': 'boredapeyachtclub'}, {'start': 117, 'end': 128, 'tag': 'CyberKongz'}, {'start': 129, 'end': 141, 'tag': 'Cryptopunks'}, {'start': 142, 'end': 150, 'tag': 'Fidenza'}, {'start': 151, 'end': 162, 'tag': 'veefriends'}, {'start': 163, 'end': 176, 'tag': 'NFTCollector'}, {'start': 177, 'end': 185, 'tag': 'NFTNews'}, {'start': 186, 'end': 199, 'tag': 'nftcommunity'}, {'start': 200, 'end': 210, 'tag': 'cryptonft'}, {'start': 211, 'end': 224, 'tag': 'nftcollector'}, {'start': 225, 'end': 232, 'tag': 'NFTart'}, {'start': 233, 'end': 243, 'tag': 'cryptoart'}]}"
2022-01-07T23:42:17.000Z,nft_tracker,Sold! Bored Ape was purchased by sadsigns_vault for Ξ69.0 ($222k) $ETH #NFT #NFTs  #art #cryptoart  @BoredApeYC #BAYC #BoredApeYachtClub https://t.co/PS0eTxJUj1,en,0,1,3,0,1479599301261152260,1375484563087048707,1479599301261152260,nan,nan,"{'urls': [{'start': 137, 'end': 160, 'url': 'https://t.co/PS0eTxJUj1', 'expanded_url': 'https://www.nft-stats.com/collection/boredapeyachtclub?sale=2792549429&utm_source=twitter&utm_medium=sale', 'display_url': 'nft-stats.com/collection/bor…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1479599567607934978/p2GeUy1J?format=png&name=orig', 'width': 800, 'height': 400}, {'url': 'https://pbs.twimg.com/news_img/1479599567607934978/p2GeUy1J?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Bored Ape sold!', 'description': 'Sold! Bored Ape was purchased by sadsigns_vault for Ξ69.0 ($222k)', 'unwound_url': 'https://www.nft-stats.com/collection/boredapeyachtclub?sale=2792549429&utm_source=twitter&utm_medium=sale'}], 'cashtags': [{'start': 66, 'end': 70, 'tag': 'ETH'}], 'hashtags': [{'start': 71, 'end': 75, 'tag': 'NFT'}, {'start': 76, 'end': 81, 'tag': 'NFTs'}, {'start': 83, 'end': 87, 'tag': 'art'}, {'start': 88, 'end': 98, 'tag': 'cryptoart'}, {'start': 112, 'end': 117, 'tag': 'BAYC'}, {'start': 118, 'end': 136, 'tag': 'BoredApeYachtClub'}], 'mentions': [{'start': 100, 'end': 111, 'username': 'BoredApeYC', 'id': '1381699264011771906'}]}"
2022-01-07T23:38:05.000Z,kxngoftheether,"𝕿𝖍𝖊 𝕶𝖝𝖓𝖌 𝖔𝖋 𝖙𝖍𝖊 𝕰𝖙𝖍𝖊𝖗 𝖍𝖆𝖘 𝖗𝖎𝖘𝖊𝖓!!!
#nft #nfts #nftart #nftcollector #cryptoart #ethereum #polygon #blockchain #Solana #boredapeyachtclub #cryptopunks #nftcommunity #rarible #opensea #nftcollectibles #digitalart #mint #minting #discord #ipfs #erc721 https://t.co/fM0c4oRbX0",en,1,0,0,0,1479598244472803331,1479583408896552960,1479598244472803331,nan,nan,"{'urls': [{'start': 249, 'end': 272, 'url': 'https://t.co/fM0c4oRbX0', 'expanded_url': 'https://twitter.com/kxngoftheether/status/1479598244472803331/photo/1', 'display_url': 'pic.twitter.com/fM0c4oRbX0'}], 'hashtags': [{'start': 35, 'end': 39, 'tag': 'nft'}, {'start': 40, 'end': 45, 'tag': 'nfts'}, {'start': 46, 'end': 53, 'tag': 'nftart'}, {'start': 54, 'end': 67, 'tag': 'nftcollector'}, {'start': 68, 'end': 78, 'tag': 'cryptoart'}, {'start': 79, 'end': 88, 'tag': 'ethereum'}, {'start': 89, 'end': 97, 'tag': 'polygon'}, {'start': 98, 'end': 109, 'tag': 'blockchain'}, {'start': 110, 'end': 117, 'tag': 'Solana'}, {'start': 118, 'end': 136, 'tag': 'boredapeyachtclub'}, {'start': 137, 'end': 149, 'tag': 'cryptopunks'}, {'start': 150, 'end': 163, 'tag': 'nftcommunity'}, {'start': 164, 'end': 172, 'tag': 'rarible'}, {'start': 173, 'end': 181, 'tag': 'opensea'}, {'start': 182, 'end': 198, 'tag': 'nftcollectibles'}, {'start': 199, 'end': 210, 'tag': 'digitalart'}, {'start': 211, 'end': 216, 'tag': 'mint'}, {'start': 217, 'end': 225, 'tag': 'minting'}, {'start': 226, 'end': 234, 'tag': 'discord'}, {'start': 235, 'end': 240, 'tag': 'ipfs'}, {'start': 241, 'end': 248, 'tag': 'erc721'}]}"
2022-01-07T23:37:23.000Z,metaverseunited,"🌴NEW Rare Bored Apes Minted NOW!🦧
🔥SELLING FAST🔥
🚀Get in NOW,take advantage of the Floor Price

Opensea: https://t.co/6QS6MbHtyU

#NFTCommmunity  #NFTGiveaway #NFTdrop #NFTartists #nftcollectors #Metaverse #crypto #Bitcoin #Ethereum #opensea #BoredApeYachtClub #APENFT https://t.co/vtVBYdt199",en,1,0,1,0,1479598065858326528,1469699560113065997,1479598065858326528,nan,nan,"{'urls': [{'start': 105, 'end': 128, 'url': 'https://t.co/6QS6MbHtyU', 'expanded_url': 'https://opensea.io/collection/viploungeofboredapes', 'display_url': 'opensea.io/collection/vip…'}, {'start': 269, 'end': 292, 'url': 'https://t.co/vtVBYdt199', 'expanded_url': 'https://twitter.com/metaverseunited/status/1479598065858326528/photo/1', 'display_url': 'pic.twitter.com/vtVBYdt199'}], 'hashtags': [{'start': 130, 'end': 144, 'tag': 'NFTCommmunity'}, {'start': 146, 'end': 158, 'tag': 'NFTGiveaway'}, {'start': 159, 'end': 167, 'tag': 'NFTdrop'}, {'start': 168, 'end': 179, 'tag': 'NFTartists'}, {'start': 180, 'end': 194, 'tag': 'nftcollectors'}, {'start': 195, 'end': 205, 'tag': 'Metaverse'}, {'start': 206, 'end': 213, 'tag': 'crypto'}, {'start': 214, 'end': 222, 'tag': 'Bitcoin'}, {'start': 223, 'end': 232, 'tag': 'Ethereum'}, {'start': 233, 'end': 241, 'tag': 'opensea'}, {'start': 242, 'end': 260, 'tag': 'BoredApeYachtClub'}, {'start': 261, 'end': 268, 'tag': 'APENFT'}]}"
2022-01-07T23:36:01.000Z,thehightablenft,One Lucky Person That Mints A HighTable NFT Will Be Awarded 1 Pound Of Top Shelf Flowers 🔥💨 + All NFT Holders Will Be Granted 1 Quater Of Top Shelf Flowers Every Two Weeks ! #nft #NFTs #NFTCommunity #NFTGame #nftcollectors #opensea #BoredApeYachtClub #NFTdrop #NFTCollection https://t.co/ltH52FH5L7,en,5,1,6,4,1479597721686269953,1479591625651331073,1479597721686269953,nan,nan,"{'urls': [{'start': 275, 'end': 298, 'url': 'https://t.co/ltH52FH5L7', 'expanded_url': 'https://twitter.com/thehightablenft/status/1479597721686269953/photo/1', 'display_url': 'pic.twitter.com/ltH52FH5L7'}], 'hashtags': [{'start': 174, 'end': 178, 'tag': 'nft'}, {'start': 179, 'end': 184, 'tag': 'NFTs'}, {'start': 185, 'end': 198, 'tag': 'NFTCommunity'}, {'start': 199, 'end': 207, 'tag': 'NFTGame'}, {'start': 208, 'end': 222, 'tag': 'nftcollectors'}, {'start': 223, 'end': 231, 'tag': 'opensea'}, {'start': 232, 'end': 250, 'tag': 'BoredApeYachtClub'}, {'start': 251, 'end': 259, 'tag': 'NFTdrop'}, {'start': 260, 'end': 274, 'tag': 'NFTCollection'}]}"
2022-01-07T23:34:18.000Z,DavillinNFTs,"MINTING YOUR NFTs

https://t.co/T5YZLKo8rR

#NFTs  #NFTCommunity  #NFTGame  #NFTdrop  #NFTGiveaways  #cryptopunks  #BoredApeYachtClub  #cryptocurrency  #Twitter #ETH  #Ethereum",en,0,0,1,0,1479597290667102211,1471977416759431169,1479597290667102211,nan,nan,"{'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/T5YZLKo8rR', 'expanded_url': 'https://youtu.be/K9NSFSjqmMI', 'display_url': 'youtu.be/K9NSFSjqmMI'}], 'hashtags': [{'start': 44, 'end': 49, 'tag': 'NFTs'}, {'start': 51, 'end': 64, 'tag': 'NFTCommunity'}, {'start': 66, 'end': 74, 'tag': 'NFTGame'}, {'start': 76, 'end': 84, 'tag': 'NFTdrop'}, {'start': 86, 'end': 99, 'tag': 'NFTGiveaways'}, {'start': 101, 'end': 113, 'tag': 'cryptopunks'}, {'start': 115, 'end': 133, 'tag': 'BoredApeYachtClub'}, {'start': 135, 'end': 150, 'tag': 'cryptocurrency'}, {'start': 152, 'end': 160, 'tag': 'Twitter'}, {'start': 161, 'end': 165, 'tag': 'ETH'}, {'start': 167, 'end': 176, 'tag': 'Ethereum'}]}"
